value,scenario,label
conformity,not changing my behavior for my girlfriend,-1
stimulation,possibly leading a girl on,1
security,"I'm sad and depressed, and I like it.",-1
conformity,Im willing to go to extremes for my discord servers its disgusteng,-1
benevolence,my purpose in life isn't to have a girlfriend,1
benevolence,Burned my thumb attempting to steal someone’s thumb print to access their phone and now my thumb won’t unlock my phone,-1
power,asking my friend's widow for his writing materials,-1
security,trying to understand what was made of my aunt's money. she is mentally challenged,1
stimulation,I'm an abuser but unlike my father I try my best to change. I'm afraid my efforts won't be good enough,-1
hedonism,I enjoy mildly flirting with women but never asking them out,1
conformity,Tim was a wrestler his entire life.,-1
conformity,telling my boyfriend that I would maybe leave him if he started smoking pot again,-1
conformity,not wanting my grandmother's truck,-1
benevolence,I've spent the majority of my adult life hating myself.,-1
security,telling my wife's family that they're cutting into my time with her,-1
benevolence,not letting my so of 6+ years have a mini-affair with a girl who works for him,-1
tradition,not respecting people's beliefs in regards to psychics/mediums,-1
hedonism,I hate this vacation,-1
tradition,My parents were a lot smarter than I thought they were!,1
conformity,returning the book that the author herself gave me,-1
security,getting angry at the gym instructor for trying to scam me,-1
conformity,declining my former boss's request to give tips to my replacement,-1
universalism,talking at a normal volume late night if my neighbor is also loud,-1
stimulation,I had a great time during my visit to Florida.,1
tradition,wanting to discuss his cheating while he's in the psych hospital,-1
security,He annoyed me so I gave him espresso instead of decaf.,-1
universalism,He fought very hard in the war to protect his country.,1
security,wanting to tell my ex husband to tell him mother to stop sending over food when he drops off our daughter,1
benevolence,judging people seeking help,1
universalism,calling the police on my mom,-1
security,not telling my boyfriend I had lunch with a friend near his work,-1
benevolence,I can't help finding some pedos funny,-1
security,telling me sister's bf that she is cheating on him,1
tradition,asking/telling my stepdad to not interrupt me when I'm talking,-1
stimulation,I'm living in my truck,-1
security,breaking up with my boyfriend of over a year almost completely out of the blue,-1
security,snapping at my fiance's aunt,-1
conformity,saying I don't respect drug dealers,-1
security,shooting down inconsistencies of an idea,1
security,I've watched all of adamn sandler movies because my grandma loves them,1
conformity,asking for more money after an agreement has been reached,-1
hedonism,I took too Much Ecstasy on the wrong day.,1
security,I think I might have some form of depression,1
stimulation,Sometimes I cry and master bate with my tears,-1
security,not wanting to go home for my Grandpa's burial because of work,1
benevolence,"I don't want to work in deli, I love cleaning instead.",1
hedonism,Im scared to ask my boss for the weekend off,-1
security,confronting my roommate about who does the dishes,-1
power,I might be moving across the country but I don't think I can do it,-1
conformity,"I unplug things that annoy me, but are not my things to unplug.",-1
stimulation,I have radical beliefs that I have not dared to articulate to anyone yet.,-1
hedonism,As a hobby I enjoy driving around with my windows rolled down and verbally abusing overweight women,1
benevolence,i am a piece of human trash,-1
benevolence,not wanting be my friend's partner on assignments,-1
achievement,calling a mentally challenged person a loser,-1
security,"My co-workers and family members all hate when I joke about wishing I were dead. But the thing is, it’s not really a joke.",-1
benevolence,telling my girlfriend to stop chewing with her mouth open,-1
stimulation,"asking my roommate to be home when he has guests over, particularly strange men",1
self-direction,sending the pizza driver back for my drink,1
security,wanting to cut contact with a friend who is down on his luck,-1
power,I Love ANTIFA and I Will Help Them Fight Fascism,1
universalism,creating a private Instagram Account to post my college results as well as life updates,-1
security,Skipped work a few times,-1
benevolence,making my bf angry for trying to get him back in shape,-1
security,leaving my mother with her abuser,-1
benevolence,"I nearly ended my life last night, here’s why I didn’t.",-1
security,I broke wind on her sweater.,-1
achievement,I’m so un-athletic that I disappoint myself,-1
stimulation,coming off as possibly annoying for questioning my friend's wellbeing,-1
benevolence,Im still in love with my ex even though i left him two years ago,1
tradition,I walked out on my girlfriend and her son,-1
tradition,I lose any respect for those who buy the new iPhone and similar priced products.,-1
self-direction,cutting ties with my friend for feeling like he used me,1
security,not wanting to work for the same company as my partner,1
security,not allowing my partner to bring Guns in our home,1
security,"arguing with my wife over a mattress, and in conjunction obligations to family",-1
conformity,not telling my friend that her POS husband molested me,-1
conformity,getting pissed off at my bf for not wanting to be physically intimate even though we're both in a bad emotional place,-1
security,asking out a friend and her rejecting me but sending photos of my confessions to her friends,-1
security,My house at the time was very messy and I hadn't cleaned for days.,-1
stimulation,"im not changing, as much as id like to.",1
universalism,not sharing a collaborative study guide with a classmate,-1
tradition,offering my partner a gift card in exchange for doing my portion of the project,1
hedonism,stopping or reducing having sex with my girlfriend,1
hedonism,letting a friend of mine sleep over after we had sex without checking with my roommate first,1
tradition,"I don't know what I am, religion wise",-1
power,Now I have amassed $10 billion through selling my brand.,1
power,Tonight I reached to 20k karmas and I’m happy about it....,1
power,I proudly wear the badge of fascism that the western world has put on me as an officer of the Hong Kong Police Force. I forgive the rioters.,1
security,I'm afraid to be intimate with anyone.,-1
self-direction,"I tried to approach Mary, who I had a crush with.",1
universalism,not talking to my best friend because when his second child was born he didn't bother telling me,-1
achievement,I don’t know what to think of myself anymore,-1
benevolence,creating a group chat for just my 3 sisters (30's) and I without our parents included (we have a full family one already) because they kept omitting/ not telling us about being unwell,1
power,For years I blamed myself for my ex becoming a bad girl,-1
benevolence,asking my dad to make me breakfast,-1
achievement,I haven’t eaten a single hot Cheeto for a month and I’m so proud of myself.,1
security,wanting more initiative and work from my wife,1
power,I’ve been cigarette free for awhile now.,1
security,interrumping this girls work to leave the plane quickly,-1
conformity,I stole the secretary's purse in school and would have been kicked out of school if I would have told anyone. Karma striked back though.,-1
conformity,trying to get past my parent's strict rules,-1
tradition,not wanting the dog we just adopted,-1
hedonism,"I was upset that I lost, but happy I finished.",1
universalism,"I just watched a video of a cop getting shot to death while wearing a body cam. I need closure, to know that justice was eventually served",1
hedonism,Co Worker's Wedding Is No Cause for Celebration,-1
hedonism,I love ketchup on ham sandwiches! What food combo do you like that others think are weird or gross?,1
universalism,wearing a doctors mask to work in the lobby of a social services office,1
security,baking cookies for an event and another batch for my classmates and grandmother(birthday) and not giving them to my family,-1
stimulation,"My best friend died 5 years ago, and I still get those occasions where from a distance I'll see a person who looks exactly like him, and I'll get subconsciously excited. Then that person gets closer and I can see it isn't him. I'll go home and start to cry",-1
hedonism,I actually enjoy pineapples on pizza.,1
benevolence,telling my company that I will decline an assignment over child care,1
security,not attending nieces birthday party,-1
universalism,I read books to my dog,1
self-direction,pretending to be Bi,1
security,telling my aunt I would not give her five out of my $20 for no reason,-1
power,Sometimes I save random people’s photos of their pets just because I want to use them as my phone wallpaper.,-1
power,I wanted to  be Amazon's next best selling author.,1
hedonism,I love being dominated by White guys,1
universalism,When I go out to eat I always leave a bible pamphlet that looks like a $20 bill as a tip.,-1
benevolence,I am in love with my best friend,1
security,worrying about my gfs future physical safety,1
security,I'm disappointed my brother survived,-1
conformity,being mad at my friend because of their boyfriend,-1
conformity,Salute to Our Flag Is Also Salute to All Who Served,1
conformity,calling out gf's friend for going in our room whilst away,-1
stimulation,Went on a date with my boyfriend last night and he dared me to do something wild and I can’t believe I did it.,1
hedonism,not taking my daughter a concert last minute at the expense of another child,-1
security,cutting off financial support to my mother,-1
security,refusing sex after my boyfriend says he'll be sad if I end up pregnant and have an abortion,1
conformity,My moms guacamole genuinely makes me happiest person on earth,1
tradition,ditching my friend's summer plans for an internship,-1
universalism,tracking my wife's location via her phone,-1
conformity,I realized I’m actually an extremely weird and creepy person sometimes,-1
benevolence,wanting my boyfriend to be safe,1
hedonism,"I’m in an extremely satisfying and happy relationship, but I still feel so sad and alone a lot of the time",1
hedonism,"taking a job half-way across the country, even though my wife wasn't happy about it",1
conformity,telling my friends that they're being rude even though I'm annoying a lot,-1
achievement,21 and completely unable to tie shoelaces,-1
conformity,Talking to people is not in my comfort zone,-1
security,not allowing a dude I barely know to put his stuff in my seat on the bus,-1
stimulation,I'm an unstable insecure control freak who regrets most decisions he makes regarding his relationship.,-1
hedonism,My life is an endless cycle of pain,-1
achievement,I helped create the mind controlling Fluoride that is in the American water supply.,1
security,Feel guilty at my anger and sadness,1
conformity,parents at church complained about me,-1
achievement,I hate my job and I feel terrible about it,-1
benevolence,I won't forget the day he told me I can't achieve my dreams. Not because he didn't have faith in me...,-1
benevolence,Make Yours Good Neighbors by Showing How It's Done,1
benevolence,I’m scared of becoming my father,-1
security,telling my friend in prison it's ok to be gay for the stay,-1
self-direction,"not being supportive of my friend whose dog is ill, right after my cat died",1
tradition,I’m a conservative at a liberal school,1
universalism,"I hate people who constantly post about how depressed and sad they are on social media, like acting all woe is me",1
conformity,banning someone from our dev team due to me not liking his controversial opinions,-1
security,"I'm struggling as a young American to balance which bills I can pay, managing debt, cost of living, making sure we have food. Despite my hardest work and best efforts, I feel doomed often.",-1
benevolence,I envy people who have had parents who love them unconditionally. Without boundaries. Who love them openly without ultimatums. Who love them truthfully. Who haven't wondered whether they won't be loved because of an action or because of who they are or because of certain choices made.,-1
conformity,being resentful of my grandma,-1
tradition,"Every time I see a woman in a niqab or burqa, I like to imagine I’m Harry Potter confronting a Dementor and say: “Expecto Patronum!”",-1
universalism,not wanting my stepdaughter at a vacation,-1
security,I secretly fantasize about jacking off in public..,-1
benevolence,telling my parents to stop making jokes about me and my bf,1
security,losing my passport and ruining my girlfriend's birthday,-1
hedonism,Enjoyed not helping her,1
achievement,"I ruined a girl's photograph, since she was hot.",-1
conformity,not respecting my friends choice of partner,-1
benevolence,"When she retired, there was an assembly to honor her.",1
stimulation,"I lost my faith, and nothing makes sense",-1
hedonism,"I propped up my feet as I worked, happy with my purchase.",1
hedonism,leaving my gf at home alone two times a week only to get high with my friends,1
security,despising most of my family,-1
stimulation,wabting to be with my woman as often as possible,1
tradition,refusing to pay someone when I broke his gift by accident,-1
benevolence,learning that a girl I've been seeing for 2 months is pregnant and telling her I want an abortion,-1
hedonism,I think that soda tastes best on airplanes,1
security,ceasing contact with a friend,-1
security,I support Israel because I dislike Moslems,-1
conformity,I drank a co-worker's Coke from the office fridge.,-1
power,asking my girlfriend to save my game befor she switches over to her savestate,1
conformity,raising my children in an unorthodox manner and not introducing them to my parents,-1
universalism,I'm finna abuse Youtube's frontend.,-1
benevolence,"being upset that my dads pipeband won't let him keep the band tie/badge, he's 83",1
benevolence,I hate how primitive humans are,-1
benevolence,I think I inadvertently ruined my best friends life.,1
power,wearing earbuds and occasionally checking my phone during a church mass that I am forced to go to even though I am an atheist,-1
benevolence,The girl I like wants me to Photoshop her picture with the guy she recently started dating since she knows me to do funny photoshops of her pictures. It only disgusts me and I can't get myself to process any ideas looking at the picture.,1
security,not wanting to stop working and babysit my partners son,-1
benevolence,"Slept with my stepdad, please help",-1
tradition,breaaking my neighbor drone,-1
power,I think I was spiked last night,-1
hedonism,I put my bikini on and went to the beach.,1
security,I cheated.... in a teachers restroom,-1
achievement,I ended up cooking dinner for her and we had a great night anyway.,1
conformity,being emotionally distant from my mum after some shady behaviour,-1
conformity,beating up my Roommates friend,-1
security,being salty about family visiting & having sex,1
hedonism,I don't know whether to feel happy or sad,-1
conformity,Grandpa Who Won't Respect Boundaries Needs Fencing In,-1
power,I was banned for my confession last night,-1
power,telling my mom she cannot be under the influence of weed while caring for my young child,1
benevolence,feeling that my friends are supportive,1
security,never wanting to hang out with my best friend because they're socially needy,1
hedonism,I like to spin my clothes line around and pretend I'm in The Matrix when it comes flying by my head,1
security,refusing to give back my school laptop,-1
achievement,I want a hysterectomy but I’m afraid nobody will want to be with me when they find out I can’t have babies.,-1
benevolence,Forgiveness Is Divine Idea During Week of Reflection,1
security,I'm transphobic about myself and support politics that actively tries to hurt me,-1
security,deciding to surprise visit my bf who lives on my hometown and did not tell my family about it,-1
conformity,I'm sending my dad to the worst retirement home I can find when he's older,-1
universalism,not letting my teenage daughter sleep over in a house in a really bad neighborhood,1
power,refuaing to put my backpack under the seat on an airplane,-1
universalism,not wanting to do a going away party,-1
tradition,hoping my parents get a divorce,-1
power,"Can anyone tell me why my brand new $1,000 PC keeps freezing.",1
security,not wanting to share my food with GF's uncle,-1
achievement,distancing myself from my friend,-1
stimulation,I am giving up on my childhood dreams. It feels weirdly liberating.,-1
power,I have been thinking about ending my life,-1
conformity,hanging up on my mom,-1
benevolence,"At my old job, I either peed or spit in customers snow cones if they mentioned politics of any kind.",-1
tradition,White women are the only real women on Earth,-1
tradition,kicking my ex-gf out even though she has nowhere to go,-1
security,I always keep everything on my burger when I order something so I seem more “healthy”.,-1
tradition,telling my mother in-law to GTFO,-1
conformity,When I was a teenage girl I would mess with my boyfriends.,-1
self-direction,I can’t hold in the needing to cut myself and just wanna sleep forever,-1
universalism,telling my friend to stop making girls feel uncomfortable,1
security,complaining about staying with my gf's family in a private conversation,-1
conformity,talking to a guy my boyfriend doesn't want me to,-1
benevolence,refusing to help my brother collect chopped wood,-1
benevolence,When I went into the cat room I was overwhelmed by how cute they were.,1
tradition,I pay women to come to my home and drink with me. When they're comfortable I interview them about their lives. I try to get them to cry as it excites me.,-1
hedonism,not wanting to play with my friends because they make fun of me while playing,-1
conformity,asking someone to respect me,1
hedonism,I haven’t earned the right to not be depressed.,-1
conformity,kicking a girl out of my car and leaving her on the side of the road,-1
achievement,I stormed area 51 successfully two weeks ago,1
security,I have a terrible work ethic and I hate work in general + other rants,-1
conformity,I just logged into my ex-girlfriends facebook-account,-1
conformity,wearing my sisters underwear,-1
stimulation,I always feel like the person people grow out of.,-1
security,telling my waitress's manager she did a great job,1
security,leaving my daughter's friend at the park,-1
stimulation,I poisoned someone over a 4 dollar and 25 cent tip.,-1
stimulation,ghosting my friend,-1
security,wanting nothing to do with my aunt after she was disgracefully rude at my grandmothers funeral,-1
stimulation,I have a playlist of songs singing my name to cheer me up,1
security,i'm a pathalogical liar,-1
security,not going on a make-a-wish trip for my sister,-1
universalism,i literally can't imagine what life with Article 13 is going to be like,1
hedonism,I write fantasies about female friends and girls I know,1
conformity,refusing to move my buggy and giving a middle aged couple the middle finger,-1
security,icing out my brother on Thanksgiving Day,-1
stimulation,Her grades were slipping so she was temporarily banned form dance.,1
hedonism,"I have this secret kink that I can't openly talk about irl as a straight male, so...",1
power,being upset at someone who gives no regards to my personal opinions or property,1
universalism,paying a homeless guy 5 dollars a day to write my Instagram handle on his panhandling sign,1
achievement,He was known for his amazing donuts.,1
achievement,kicking my depressed friend out of our band for an upcoming performance,-1
benevolence,I don't care about the people in Australia,-1
tradition,not accepting GF's religious beliefs,-1
power,"I refused to mow the grass last week, because I was so afraid.",-1
achievement,"I called in sick to work, but I’m not sick",-1
tradition,not being comfortable with my G/F wanting to grow weed in our rental house in a country where its still illegal,1
benevolence,I get happy when I see other people genuinely happy.,1
universalism,telling my nephew if he hurts my daughter he'll be arrested,1
security,He only cursed at me because I'm physically bigger than him but I don't wan't to lose my job.,1
universalism,I hate Suicidal People.,-1
conformity,not pitching in on my boss' birthday gift,-1
self-direction,Poor Eating Habits Work Against Weight-Loss Goal,-1
benevolence,I think I'm falling in love with my professor.,1
universalism,Some days I feel like the universe is against me,-1
benevolence,scamming my dad,-1
security,I wanna drop out of college and quit my job and be a famous rapper and drink lean all day,-1
conformity,freaking out on my grandmother,-1
benevolence,not giving this woman a cart,-1
conformity,I purposely try to oppose and stick out from everyone purposely and i dont even know why.,-1
universalism,wanting my son to go to university instead of my daughter,-1
conformity,I post liberal stuff on Facebook to bait my ultra-conservative uncle.,-1
security,"when I'm sick, I like to spit a huge loogie into the family chip dip.",-1
achievement,Kindness of Strangers Creates a Christmas to Remember Still,-1
benevolence,My late grandma visits me,1
benevolence,Loving my best friend,1
security,not being excited for my sister-in-law's baby,-1
security,Financial security for my family or peace of mind.,1
security,I despise my dad and I wish he would disappear and not exist anymore.,-1
achievement,i procrastinate at my own company,-1
benevolence,I always compliment everyone when I'm out and about just to see them smile.,1
tradition,I hate overly nice customer service,-1
benevolence,I need Serious help,-1
security,not wanting to stay with family on my holiday,-1
power,I loved my babysitter yet was terrified of her,-1
power,I am planning on ending my life soon.,-1
power,I have a huge superiority complex,1
security,The US should reintroduce slavery,-1
universalism,blocking a longtime friend over a single creepy message,1
benevolence,thinking my ex and her family are really rude to not at least acknowledge my sympathy card and text to her mother about the loss of her grandmother,1
benevolence,telling my roommate to get rid of his pets or be home more,-1
universalism,cutting off financial support to my mother,-1
benevolence,Been in love with my ex for over 3 years,1
benevolence,When someone asks me to hold the elevator I press the close door button instead.,-1
tradition,Responsible Kids Are Proof That Youth Is on Right Track,1
security,I felt up my passed out brother in law,-1
benevolence,I genuinely hate myself sometimes.,-1
stimulation,I don’t know how to make girl friends,-1
hedonism,Memory Albums as Gifts Bring Christmas Cheer to Grandmas,1
security,hating my sister,-1
security,cutting my family out of all family celebrations,-1
universalism,checking my boyfriend's social medias,-1
achievement,not wanting a kid that could potential go blind at age 20,-1
tradition,Found out friend has a foot fetish...,-1
hedonism,I’m addicted to South Park,1
stimulation,I’m scared to get married.,-1
benevolence,not wanting to help my mom's friend's daughter do her homework,-1
benevolence,Kyle came over to help me fix my motorcycle.,1
achievement,"It took two weeks to get my car fixed, but it looks great now.",1
security,My uncle’s a cokehead,-1
universalism,having a cold attitude about mental health on social media,-1
benevolence,I just want to be loved,1
hedonism,The Story of The End of My Happiness,-1
hedonism,"I make music, but I know that nobody really likes it",-1
hedonism,I’m jealous of my girlfriend’s success.,-1
security,I forced a connection between my twin sibling and someone I knew they would hate purely to watch the world burn,-1
security,leaving a Job after only 1 week,-1
benevolence,being mad at my mom for checking my phone,-1
benevolence,The one thing I desire above anything else is to be loved...,1
hedonism,a weird aesthetic i find beautiful,1
stimulation,"When I applaud, I always clap as loud as possible.",1
conformity,I am a bad persons,-1
hedonism,I lie about being sick to avoid going out.,-1
security,cutting off my in-laws,-1
universalism,wanting equal opportunity for myself,1
self-direction,I wear women underwear as a grown man under my pants and no one ever found out,1
benevolence,breaking up with my girlfriend of two years because she's decided to abstain due to her parents finding out,-1
universalism,I disagree with both feminism and MGTOW,-1
power,I don’t care about sports or anything related to sports and I love feeling superior because of that.,1
hedonism,I'm not happy with how my college experience is going,-1
tradition,lying about my religion to play in a church band,-1
conformity,I sneeze as violently as possible,-1
security,being angry at my dad,-1
universalism,I think the Neochatechumenal Way is a cult.,-1
hedonism,being happy classes were cancelled,1
benevolence,calling my mom a racist old bitch,-1
stimulation,My favorite soup has chicken fat as the last ingredient. I'm a vegetarian and I eat it anyway.,1
stimulation,I used to be a Nice Guy,-1
security,My boyfriend and I finally agreed to a mutual break up.,-1
universalism,potentially causing a girl to fail university,-1
security,I started cutting myself,-1
security,bringing in delicious food to the office to purposely wreck my coworkers' diets,-1
security,telling staff members of a Discord server to enforce their rules more strictly,1
self-direction,I'm still a loser at 50,-1
conformity,Man's Atrocious Table Manners Make Meals Hard to Stomach,-1
security,being pissed of that dad gave a present to my sister that I wanted myself,-1
stimulation,I ghosted a Girl who loved me and moved across the country,1
hedonism,I would pay 3-5X as much for an Uber service with beautiful women drivers,1
benevolence,My parents force me to go to church so I end up going alone and driving to Target instead,1
power,I break the spines of my friend's book when he annoys me,-1
benevolence,wanting to bail on my grandpa's 98th birthday lunch because I have morning sickness,-1
self-direction,I have a crush on my manager and I didn't even realised it until...,-1
universalism,not letting a person with a service dog have my seat in an auditorium,-1
benevolence,I’m scared to do things and I hide all the time from new experiences,-1
universalism,not wanting my my aunt and her husband at my graduation,-1
security,I starve myself because I get made fun of on the internet,-1
hedonism,stopping sex in the middle of it,-1
security,wanting my in-laws to be independent,1
conformity,Addiction to prostitution for 4 years and counting,-1
security,not wanting to collaborate with my lazy friend,-1
security,quitting my job of 8 years over text,-1
benevolence,Last year I spent my food budget my parents gave me on Zelda games,-1
conformity,using this disrespectful girl's recent death of her father against her,-1
conformity,I let a house guest's toothbrush fall into the toilet and didn't tell them.,-1
tradition,I was happy when my step-moms mother died.,-1
stimulation,ghosting my former friend,-1
security,not giving my coworker 'free commission',-1
security,I dry my hands on the shower curtain to avoid having to replace the paper towel roll.,-1
hedonism,enjoying when my dad doesn't get his way,1
hedonism,I feel like I can't socialize or have fun with other people unless I'm drinking.,-1
power,wanting my bf to try being independent,1
security,being mad at my stepdad,-1
universalism,deleting a friend off fb,-1
universalism,My Grandfather just died and I felt peaceful,-1
security,calling off work when weather is bad,1
benevolence,"asking my roommates to help keep the apartment clean, and to keep themselves clean",1
power,trying to force my om to deal with something she doesn't want,1
achievement,I’m probably not good enough for my job position.,-1
security,I regret getting married and having kids,-1
benevolence,"Married to woman, in love with a man.",-1
conformity,telling my mom to leave,-1
security,I intentionally soiled my pants and my family found out,-1
hedonism,not wanting to get married to my girlfriend for not having enough sex in our relationship,-1
conformity,not wanting to go see my girlfriend's parents over the summer,-1
power,"I feel superior to everyone else around me, and I feel like my life confirms this belief constantly.",1
benevolence,Small Acts of Kindness Can Give Hope to Those in Need,1
hedonism,"I want to be happy, but i can't",-1
security,not wanting to recommend my autistic cousin for an art position at my work,-1
hedonism,I've been secretly videotaping myself banging random girls for years..,1
conformity,making fun of how someone I know faked cutting herself for attention,-1
security,I hate my job. Giving things away for free is my little act of resistance.,-1
power,I have urges to stab myself.,-1
power,telling my old art teacher to shut the f**k up,1
achievement,Tryna be positive on my birthday,1
power,telling my estranged brother he has to go to a psychiatrist if he wants to be back in my life,1
power,not wanting to continue my distance relationship for another 2 years,1
universalism,feeling annoyed at my best friend for getting closer to my boyfriends ex,-1
benevolence,I really despise my life and wish i wasn't alive but none of my friends or circle know that,-1
stimulation,I used to be a edgy anti-feminist 4-chan girl,1
security,ruining a chance of a promotion for a coworker,-1
universalism,I only find it acceptable if people are being passive aggressive when it comes to customer service or anything related to work.,1
hedonism,been secretly going to massage parlors for happy endings...girlfriend has no idea,1
benevolence,getting angry at my friend for being so dumb in relationships,-1
security,snapping at my bf in front of his friends,-1
universalism,not wanting to go to my friends house,-1
hedonism,"not ever wanting kids not just because of how stressful the life of a parent is, but because I know I'd never be a happy person and would never really love them",1
hedonism,So I put a couple of pickles on my sandwich and now I'm happy.,1
benevolence,I'm so tired of paying for my parents failed relationship,-1
universalism,"Cheating, Lying, Stealing: A Trio of Confessions",-1
tradition,calling my dad an asshole,-1
hedonism,"Wine, pills, and a bubble bath. A relaxing night",1
power,quitting a job peer mentoring low-income and hispanic students,-1
hedonism,I want to lose my virginity to an older woman,1
stimulation,I just found out we’re having Twins and I’m freaking out!,1
security,I told him to drink it and searched for the lemonade.,-1
universalism,I think cats look cuter than human babies,-1
security,quitting my job with only a few days notice,-1
hedonism,I feel like everyone is happier than I am.,-1
benevolence,not wanting to see my estranged dad,-1
stimulation,Feeling good would be a change,-1
benevolence,Olivia Dunham and Peter Bishop got their little girl back and that's the happiest I've been in years,1
conformity,I declined because I wanted to protect myself,-1
benevolence,Don't Wait Until Tomorrow to Tell the People You Love,1
achievement,Then I put my knee up by my chest.,-1
universalism,Blocked my best friend because she roasted my camera quality on snapchat,-1
security,I hit some woman in the face since she purposely tried to destroy my items on the metro,1
benevolence,Drinking helps me cope with my emotions.,-1
security,not inviting coworkers to a funeral/not going to funerals of coworkers' families,-1
benevolence,I realize that I don't love myself,-1
benevolence,when i was younger and my mom let me get candy i would always purposely get something sour since she didnt like it so she wouldnt eat any of it.,-1
conformity,rejecting someone in a direct manner,-1
benevolence,I started by teaching him the alphabet and spelling.,1
benevolence,possibly cheating,-1
security,I caused the death of my mother.,-1
benevolence,I’ll never forgive my mother for not letting me go to culinary school.,-1
stimulation,being somewhat rude to the receptionist at the barbershop because she changed my appointment time,-1
power,making my coworker stay late with me to clean up,1
security,getting annoyed at a co-worker who is always sick,1
